rank	root_iast	dcs_lemma	attested_count
33	prach	pracch	2851
169	puṭ	puṭ	418
282	snih	snih	125
308	bhṛjj	bhṛjj	93
359	ujh	ujh	50
365	vyā	vye	46
392	dhi	dhi	31
441	vlī	vlī	18
448	chṛd	chṛd	15
461	sūrkṣ	sūrkṣ	13
471	luñc	luñc	11
474	vell	vell	11
481	raṭ	raṭ	10
484	ḍhauk	ḍhauk	10
488	med	med	9
491	uñch	uñch	9
492	śim	śim	9
494	cyut	cyut	8
503	chā	chā	7
506	laḍ	laḍ	7
507	liś	liś	7
512	raṇv	raṇv	7
519	naṭ	naṭ	6
531	khañj	khañj	5
538	āñch	āñch	5
540	aṅg	aṅg	4
544	kuṭṭ	kuṭṭ	4
549	īrṣy	īrṣy	4
554	hlād	hlād	3
556	mokṣ	mokṣ	3
561	subh	subh	3
564	tvaṅg	tvaṅg	3
571	ghaṭṭ	ghaṭṭ	2
572	hikk	hikk	2
573	hiṇḍ	hiṇḍ	2
574	hreṣ	hreṣ	2
576	maṇṭ	maṇṭ	2
577	mlech	mlech	2
581	pīḍ	pīḍ	2
584	viṣṭ	viṣṭ	2
588	ślath	ślath	2
596	gard	gard	1
597	guṇṭh	guṇṭh	1
601	jyut	jyut	1
602	kal	kal	1
603	kharj	kharj	1
607	luḍ	luḍ	1
609	mrit	mrit	1
613	pibd	pibd	1
614	rac	rac	1
617	sphar	sphar	1
618	stṛh	stṛh	1
620	taḍ	taḍ	1
621	taṭ	taṭ	1
623	vaṇṭ	vaṇṭ	1
624	vrad	vrad	1
625	yabh	yabh	1
627	īṅkh	īṅkh	1
629	ṭaṅk	ṭaṅk	1
