pack	lemma_slp1	surface	locus	gloss_ru	status	flags	gloss_lemma	min_band	nkrya_tokens	synonym_proposal	synonym_ipm	synonym_band
hitopadesa-0	a	a	11	о	ok							
hitopadesa-0	abhigamana	abhigamanam	14	сближение	ok			3	сближение:S:3:15.08			
hitopadesa-0	abhijña	abhijñān	44	искусный	ok			3	искусный:A:3:12.86			
hitopadesa-0	abhyantara	abhyantare	44	внутреннее	ok			4	внутренний:A:4:193.64			
hitopadesa-0	abhāvin	abhāvi	29	достигать	ok			3	достигать:V:3:47.90			
hitopadesa-0	adhika	adhiko	25	выше	ok			3	выше:ADV:3:46.06			
hitopadesa-0	adhī	adhītam	24	изучить	ok			3	изучить:V:3:30.77			
hitopadesa-0	adravya	adravye	42	a nothing; a worthless thing; [medic.] not a dravya = e.g. the mental disposition of the…	not_russian	not_russian						
hitopadesa-0	agada	agadaḥ	29	здоровый	ok			4	здоровый:A:4:104.60			
hitopadesa-0	agratas	agrataḥ	35	перед	ok							
hitopadesa-0	ah	āha	30	сказать	ok			5	сказать:V:5:2472.22			
hitopadesa-0	ahi	ahi	28	змея	ok			3	змея:S:3:27.43			
hitopadesa-0	ahāryatva	ahāryatvād	4	the state of not being liable to be taken away	not_russian	not_russian						
hitopadesa-0	ajara	ajara	3	нестареющий	flag	rare		1	нестареющий:A:1:0.35			
hitopadesa-0	ajāgalastana	ajāgalastanasya	26	nipple or fleshy protuberance on the neck of goats; an emblem of any useless or worthless…	not_russian	not_russian						
hitopadesa-0	ajāta	ajāta	13	неродившихся	ok			3	родиться:V:3:99.42			
hitopadesa-0	akṣama	akṣamāṇām	30	невыполнимый	flag	soft_rare		2	невыполнимый:A:2:2.12			
hitopadesa-0	akṣaya	akṣaya	4	нетленные	flag	soft_rare		2	нетленный:A:2:2.68			
hitopadesa-0	amara	amara	3	бессмертные	ok			3	бессмертный:A:3:16.79			
hitopadesa-0	ambā	ambā	16	мать	ok			4	мать:S:4:413.00			
hitopadesa-0	anadhigata	anadhigata	12	не предполагающий достаточное	ok	phrase		3	предполагать:V:3:78.09 достаточный:A:3:35.56			
hitopadesa-0	ananuṣṭhāna	ananuṣṭhānena	12	невыполнение	flag	soft_rare		2	невыполнение:S:2:2.48			
hitopadesa-0	anargha	anargha	4	priceless; invaluable	not_russian	not_russian						
hitopadesa-0	anartha	anarthāya	11	не-артха	flag	rare			не-артх:S:-:-			
hitopadesa-0	andha	andha	10	слепой	ok			3	слепой:A:3:39.63			
hitopadesa-0	aneka	aneka	10	многие	ok							
hitopadesa-0	antara	antare	42	между	ok							
hitopadesa-0	antima	antimaḥ	13	последний	ok			4	последний:A:4:725.90			
hitopadesa-0	anudyoga	anudyogena	32	absence of exertion or effort; inactivity	not_russian	not_russian						
hitopadesa-0	anuttama	anuttamam	4	несравненный	flag	soft_rare		2	несравненный:A:2:4.40			
hitopadesa-0	anya	anyac	16	другой	ok			5	другой:A:5:2034.50			
hitopadesa-0	anyathā	anyathā	29	иначе	ok			4	иначе:ADV:4:117.98			
hitopadesa-0	apara	aparaṃ	18	другие	ok			5	другой:A:5:2034.50			
hitopadesa-0	apatya	apatyam	43	потомство	ok			3	потомство:S:3:13.59			
hitopadesa-0	apaṇḍita	apaṇḍitaḥ	22	невежда	flag	soft_rare		2	невежда:S:2:4.31			
hitopadesa-0	apekṣ	apekṣate	35	зависимость	ok			3	зависимость:S:3:55.22			
hitopadesa-0	api	api	10	также	ok							
hitopadesa-0	arh	arhati	32	должен	ok			3	должный:A:3:20.97			
hitopadesa-0	artha	arthasya	10	ради	ok							
hitopadesa-0	as	satām	1	есть	ok			4	есть:V:4:151.44			
hitopadesa-0	atandrita	atandritaḥ	31	неустанно	flag	soft_rare		2	неустанно:ADV:2:4.94			
hitopadesa-0	atas	ato	44	поэтому	ok			4	поэтому:ADV:4:289.91			
hitopadesa-0	atha	atha	10	и	ok							
hitopadesa-0	atiduṣkara	atiduṣkaram	19	труднее	ok			3	трудный:A:3:76.99			
hitopadesa-0	atra	'tra	33	здесь	ok			4	здесь:ADV:4:876.99			
hitopadesa-0	autkārṣya	autkārṣyam	30		empty							
hitopadesa-0	avaśyam	avaśyaṃ	28	непременно	ok			3	непременно:ADV:3:80.09			
hitopadesa-0	aśman	aśmā	44	камень	ok			4	камень:S:4:178.13			
hitopadesa-0	bahu	bahubhiḥ	21	много	ok			4	много:ADV:4:672.76			
hitopadesa-0	baka	bako	37	Бака	ok	name						
hitopadesa-0	bhavat	bhavat	44	ты	ok							
hitopadesa-0	bhaya	bhaya	25	страх	ok			4	страх:S:4:151.52			
hitopadesa-0	bheda	bhedaḥ	9	различие	ok			3	различие:S:3:42.33			
hitopadesa-0	bho	bho	40	о	ok							
hitopadesa-0	bhoḥ	bhoḥ	40	о	ok							
hitopadesa-0	bhāgya	bhāgyam	5	счастье	ok			3	счастие:S:3:29.48			
hitopadesa-0	bhāgīrathī	bhāgīrathī	10	Бхагиратхи	ok	name						
hitopadesa-0	bhājana	bhājane	8	сосуды	ok			3	сосуд:S:3:25.97			
hitopadesa-0	bhāryā	bhāryā	14	жена	ok			4	жена:S:4:424.54			
hitopadesa-0	bhāva	bhāvā	28	бытие	ok			3	бытие:S:3:57.09			
hitopadesa-0	bhāvin	bhāvino	28	быть	ok			6	быть:V:6:12831.00			
hitopadesa-0	bhū	bhavati	16	быть	ok			6	быть:V:6:12831.00			
hitopadesa-0	bhūpati	bhūpatir	10	царь	ok			4	царь:S:4:196.75			
hitopadesa-0	brū	abravīt	42	сказать	ok			5	сказать:V:5:2472.22			
hitopadesa-0	bāla	bālo	37	дети	ok			4	ребёнок:S:4:619.51			
hitopadesa-0	bṛhaspati	bṛhaspatir	42	Брихаспати	ok	name						
hitopadesa-0	ca	ca	13	и	ok							
hitopadesa-0	cakra	cakreṇa	30	колесо	flag	unknown			колесо:S:-:-			
hitopadesa-0	cakṣus	cakṣuṣā	12	глаз	flag	unknown			глаз:S:-:-			
hitopadesa-0	candramas	candramās	18	луна	flag	unknown			луна:S:-:-			
hitopadesa-0	catuṣṭaya	catuṣṭayam	11	четыре	ok							
hitopadesa-0	ced	cen	29	если	ok							
hitopadesa-0	chala	chalena	8	словесные ухищрения	flag	phrase,unknown			словесный:A:-:- ухищрение:S:-:-			
hitopadesa-0	cintay	cintayāmāsa	12	подумать	flag	unknown			подумать:V:-:-			
hitopadesa-0	cintā	cintā	29	мысль	flag	unknown			мысль:S:-:-			
hitopadesa-0	daiva	daivaṃ	30	a religious offering or rite; divine power or will; destiny; fate; chance; a deity; finge…	not_russian	not_russian						
hitopadesa-0	darśaka	darśakam	10	вызвавший появление	flag	phrase,unknown			вызвать:V:-:- появление:S:-:-			
hitopadesa-0	dehin	dehinaḥ	27	воплощенный	flag	unknown			воплотить:V:-:-			
