key	ipm	category	hits
freq|бак|S	13.6255	3	
freq|бессмертный|A	16.7884	3	
freq|бхагиратх|S			
freq|бытие|S	57.0877	3	
freq|быть|V	12831.0	6	
freq|вечно|ADV	45.0859	3	
freq|взять|V	611.296	4	
freq|внутренний|A	193.643	4	
freq|вред|S	30.123	3	
freq|выше|ADV	46.0643	3	
freq|должный|A	20.9697	3	
freq|достаточный|A	35.5619	3	
freq|достигать|V	47.9016	3	
freq|другой|A	2034.5	5	
freq|есть|V	151.445	4	
freq|жена|S	424.537	4	
freq|зависимость|S	55.2223	3	
freq|здесь|ADV	876.985	4	
freq|здоровый|A	104.604	4	
freq|змея|S	27.4293	3	
freq|знать|V	1740.03	5	
freq|изучить|V	30.7682	3	
freq|иначе|ADV	117.984	4	
freq|искусный|A	12.8629	3	
freq|камень|S	178.133	4	
freq|мать|S	413.002	4	
freq|много|ADV	672.762	4	
freq|молодой|A	477.422	4	
freq|не-артх|S			
freq|невежда|S	4.30563	2	
freq|невыполнение|S	2.48483	2	
freq|невыполнимый|A	2.12348	2	
freq|непременно|ADV	80.094	3	
freq|неродиться|V	0.208829	1	
freq|нерожденный|A	0.497435	1	
freq|несравненный|A	4.40183	2	
freq|нестареющий|A	0.347266	1	
freq|нетленный|A	2.67723	2	
freq|неустанно|ADV	4.93915	2	
freq|последний|A	725.903	4	
freq|потомство|S	13.5879	3	
freq|поэтому|ADV	289.911	4	
freq|предполагать|V	78.0879	3	
freq|прийти|V	591.061	4	
freq|различие|S	42.3265	3	
freq|ребенок|S	619.515	4	
freq|родиться|V	99.4189	3	
freq|сближение|S	15.0779	3	
freq|сделать|V	786.761	4	
freq|сказать|V	2472.22	5	
freq|слепой|A	39.6329	3	
freq|сосуд|S	25.9722	3	
freq|страх|S	151.518	4	
freq|счастие|S	29.4801	3	
freq|трудный|A	76.9874	3	
freq|увидеть|V	448.262	4	
freq|царь|S	196.754	4	
hits|бхагиратх|c19			
hits|бхагиратх|modern			
hits|не-артх|c19			
hits|не-артх|modern			
hits|неродиться|c19			9
hits|неродиться|modern			62
hits|нерожденный|c19			3
hits|нерожденный|modern			151
hits|нестареющий|c19			7
hits|нестареющий|modern			108
