rank	root_iast	dcs_lemma	gloss_ru	status	flags	gloss_lemma	min_band	nkrya_tokens	synonym_proposal	synonym_ipm	synonym_band
1	1 kṛ / 2 kṛ / 3 kṛ	kṛ	сделал	flag	inflected	сделать	4	сделать:V:4:786.76			
2	bhū	bhū	будет	flag	inflected	быть	6	быть:V:6:12831.00			
3	1 as / 2 as	as	есть	ok			4	есть:V:4:151.44			
4	vac	vac	сказал	flag	inflected	сказать	5	сказать:V:5:2472.22			
5	gach / gam	gam	пришел	flag	inflected	прийти	4	прийти:V:4:591.06			
6	dṛś	dṛś	увидев	flag	inflected	увидеть	4	увидеть:V:4:448.26			
7	1 dā / 2 dā / 3 dā / 4 dā	dā	взяв	flag	inflected	взять	4	взять:V:4:611.30			
8	1 vid / 2 vid	vid	знает	flag	inflected	знать	5	знать:V:5:1740.03			
9	śru	śru	услышав	flag	inflected,unknown	услышать		услышать:V:-:-			
10	brū	brū	сказал	flag	inflected	сказать	5	сказать:V:5:2472.22			
11	ah	ah	сказал	flag	inflected	сказать	5	сказать:V:5:2472.22			
12	sthā	sthā	пребывает	flag	inflected,unknown	пребывать		пребывать:V:-:-			
13	jan	jan	родился	flag	inflected	родиться	3	родиться:V:3:99.42			
14	han	han	убит	flag	inflected,unknown	убитый		убитый:V:-:-			
15	yaj	yaj	жертвователя	flag	inflected,unknown	жертвователь		жертвователь:S:-:-			
16	hu	hu	жертвуют	flag	inflected,unknown	жертвовать		жертвовать:V:-:-			
17	yuj	yuj	союзником	flag	inflected,unknown	союзник		союзник:S:-:-			
18	yā	yā	идут	flag	inflected,unknown	идти		идти:V:-:-			
19	1 pā / 2 pā / 3 pā	pā	Защищайте	flag	inflected,unknown	защищать		защищать:V:-:-			
20	jñā	jñā	зная	flag	inflected	знать	5	знать:V:5:1740.03			
21	1 iṣ / 2 iṣ / ich	iṣ	хочу	flag	inflected,unknown	хотеть		хотеть:V:-:-			
22	1 paś / 2 paś	paś	вижу	flag	inflected,unknown	видеть		видеть:V:-:-			
23	man	man	считаю	flag	inflected,unknown	считать		считать:V:-:-			
24	1 dhā / 2 dhā	dhā	вера	flag	unknown			вера:S:-:-			
25	smṛ	smṛ	считается	flag	inflected,unknown	считаться		считаться:V:-:-			
26	1 ji / 2 ji	ji	Санджая	ok	name						
27	car	car	движется	flag	inflected,unknown	двигаться		двигаться:V:-:-			
28	vad	vad	говорят	flag	inflected,unknown	говорить		говорить:V:-:-			
29	muc	muc	освобождается	flag	inflected,unknown	освобождаться		освобождаться:V:-:-			
30	1 i / 2 i	i	идет	flag	inflected,unknown	идти		идти:V:-:-			
31	labh	labh	обретает	flag	inflected,unknown	обретать		обретать:V:-:-			
32	1 pat / 2 pat	pat	упал	flag	inflected,unknown	упасть		упасть:V:-:-			
34	1 hṛ / 2 hṛ / har	hṛ	похитил	flag	inflected,unknown	похитить		похитить:V:-:-			
35	sṛj	sṛj	выпустил	flag	inflected,unknown	выпустить		выпустить:V:-:-			
36	1 hā / 2 hā	hā	оставив	flag	inflected,unknown	оставить		оставить:V:-:-			
37	1 bhuj / 2 bhuj	bhuj	наслаждайся	flag	inflected,unknown	наслаждаться		наслаждаться:V:-:-			
38	bandh	bandh	связывается	flag	inflected,unknown	связываться		связываться:V:-:-			
39	1 mṛ / 2 mṛ	mṛ	умирает	flag	inflected,unknown	умирать		умирать:V:-:-			
40	1 vas / 2 vas / 3 vas	vas	жил	flag	inflected,unknown	жить		жить:V:-:-			
41	vṛt	vṛt	возвращаются	flag	inflected,unknown	возвращаться		возвращаться:V:-:-			
42	kṣip	kṣip	метнул	flag	inflected,unknown	метнуть		метнуть:V:-:-			
43	tyaj	tyaj	оставив	flag	inflected,unknown	оставить		оставить:V:-:-			
44	śudh	śudh	очищается	flag	inflected,unknown	очищаться		очищаться:V:-:-			
45	arh	arh	должен	ok			3	должный:A:3:20.97			
46	nī	nī	приведи	flag	inflected,unknown	привести		привести:V:-:-			
47	āp	āp	достигает	flag	inflected	достигать	3	достигать:V:3:47.90			
48	dah	dah	сжигает	flag	inflected,unknown	сжигать		сжигать:V:-:-			
49	jīv	jīv	живет	flag	inflected,unknown	жить		жить:V:-:-			
50	1 stu / 2 stu	stu	восхвалять	flag	unknown			восхвалять:V:-:-			
51	pū	pū	Павамана	ok	name						
52	chid	chid	рассек	flag	inflected,unknown	рассечь		рассечь:V:-:-			
53	1 vṛ / 2 vṛ	vṛ	окруженный	flag	unknown			окружить:V:-:-			
54	tap	tap	греет	flag	inflected,unknown	греть		греть:V:-:-			
55	pac	pac	перевариваю	flag	inflected,unknown	переваривать		переваривать:V:-:-			
56	bhid	bhid	разбито	flag	inflected,unknown	разбитый		разбитый:V:-:-			
57	1 sidh / 2 sidh	sidh	устанавливается	flag	inflected,unknown	устанавливаться		устанавливаться:V:-:-			
58	ās	ās	почитают	flag	inflected,unknown	почитать		почитать:V:-:-			
59	śak	śak	способен	flag	inflected,unknown	способный		способный:A:-:-			
